,NO,일반/집합 구분,대지위치,도로명주소,건물명칭,동명칭,세대,호,가구,대지면적(㎡),건축면적(㎡),연면적(㎡),용적률산정용면적(㎡),건폐율(%),용적률(%),주구조,용도,지붕구조,지하층수(층),지상층수(층),높이(ｍ),부속건축물(동),부속건축물(㎡),주차장_자주식_옥내(대),주차장_자주식_옥외(대),주차장_자주식_인근(대),주차장_기계식_옥내(대),주차장_기계식_옥외(대),주차장_기계식_인근(대),주차장면제(대),승용승강기(대),비상용승강기(대),허가일자,착공일자,사용승인일자,에너지효율등급,에너지절감률(%),에너지성능지표(EPI)점수,친환경인증등급,친환경인증점수,지능형인증등급,지능형인증점수,위도,경도,위경도
966,83,집합,서울특별시 용산구 이태원동 181-8,서울특별시 용산구 이태원로15길 ,,,0,3,0,1566,730.73,6189.15,5107.37,46.66,326.14,철근콘크리트구조,판매시설,(철근)콘크리트,2,6,22.98,0,0,26,0,0,0,16,0,0,1,0,,,1986-09-03,,0,0,,0,,0,37.5345887,126.9901768,"(37.5345887,126.9901768)"
967,84,집합,서울특별시 용산구 이태원동 183-1,서울특별시 용산구 이태원로 ,(주)동호프라자,1,0,19,0,1420.19,732.93,6491.99,4110.67,51.6079,289.4451,철근콘크리트구조,판매시설,(철근)콘크리트,2,8,32.3,0,0,0,4,0,18,20,0,0,2,0,,,1986-09-05,,0,0,,0,,0,37.5345705,126.9899458,"(37.5345705,126.9899458)"
968,85,일반,서울특별시 용산구 청파동1가 154-7,서울특별시 용산구 청파로 330-8,,,0,0,0,0,71.41,185.23,185.23,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,,1966-10-01,,0,0,,0,,0,37.5490477,126.9703238,"(37.5490477,126.9703238)"
969,86,일반,서울특별시 용산구 청파동1가 159,서울특별시 용산구 청파로 323,,,0,0,0,0,69.42,69.42,69.42,0,0,일반목구조,판매시설,기와,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1930-12-25,,0,0,,0,,0,37.548524,126.9697408,"(37.548524,126.9697408)"
970,87,일반,서울특별시 용산구 청파동1가 162,서울특별시 용산구  ,,,0,0,0,0,109.09,109.09,109.09,0,0,일반목구조,판매시설,기와,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1929-05-04,,0,0,,0,,0,37.5483596,126.9698119,"(37.5483596,126.9698119)"
971,88,일반,서울특별시 용산구 청파동1가 183,서울특별시 용산구 청파로 309-1,,,0,0,0,0,251.24,502.48,452.89,0,0,벽돌구조,판매시설,슬레이트,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,,1938-12-05,,0,0,,0,,0,37.5472444,126.9698406,"(37.5472444,126.9698406)"
972,89,일반,서울특별시 용산구 한강로2가 15-13,서울특별시 용산구 청파로 ,,(19동),0,0,0,6327.75,3500.76,7146.1,6749.4,55.21,106.66,철근콘크리트구조,판매시설,(철근)콘크리트,1,3,16.3,0,0,0,32,0,0,0,0,0,1,0,,,1969-05-31,,0,0,,0,,0,37.5333454,126.9659415,"(37.5333454,126.9659415)"
973,90,일반,서울특별시 용산구 한강로2가 15-13,서울특별시 용산구 청파로 ,,(20동),0,0,0,6327.75,3500.76,3141.42,1250.6,55.21,19.76,철근콘크리트구조,판매시설,(철근)콘크리트,1,1,4.7,0,0,10,32,0,0,0,0,0,1,0,,,1969-05-31,,0,0,,0,,0,37.5333454,126.9659415,"(37.5333454,126.9659415)"
974,91,집합,서울특별시 용산구 한강로2가 15-14,서울특별시 용산구 새창로 ,,선인상가21동,0,1002,0,16929.6,6759.204,26973.272,25608.997,39.9254,151.2676,철근콘크리트구조,판매시설,(철근)콘크리트,1,4,19.7,0,0,108,195,0,0,0,0,0,4,0,,,1974-06-05,,0,0,,0,,0,37.5330147,126.9650346,"(37.5330147,126.9650346)"
975,92,일반,서울특별시 용산구 한강로2가 15-2,서울특별시 용산구 청파로 ,18동,부속동,0,0,0,0,45.51,82.69,82.69,0,0,철근콘크리트구조,판매시설,(철근)콘크리트,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,2007-08-10,,0,0,,0,,0,37.5338904,126.9654128,"(37.5338904,126.9654128)"
